MaxEStateIndex,MinEStateIndex,MinAbsEStateIndex,MolWt,FpDensityMorgan1,BalabanJ,SMR_VSA10,SMR_VSA3,SMR_VSA5,SMR_VSA6,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA8,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState8,VSA_EState9,NHOHCount,fr_aniline,fr_bicyclic,fr_ether,tg
8.413828066,-3.79060571,0.517182579,160.26,1.833333333,3.985756144,0,0,39.24338056,0,0,0,0,0,0,0,6.372924901,0,6.875840478,0,0,0,0,0,0,0,0,-1.684886188,0,-5.573846006,0,0,0,0,0,6
8.44721927,-3.764564043,0.572430083,160.26,1.75,4.371796862,0,0,39.24338056,0,0,0,0,0,0,0,5.414990469,0,6.875840478,0,0,0,0,0,0,0,0,-5.582366662,0,-13.31336806,0,0,0,0,0,138
8.470861468,-4.247297651,0.616030911,188.314,1.571428571,4.037217091,0,0,51.98923036,0,0,0,0,0,0,0,6.372924901,0,6.875840478,0,0,0,0,0,0,0,0,-1.963368874,0,-5.865178618,0,0,0,0,0,-27
8.51218347,-4.570164781,0.687613551,216.368,1.375,4.081612502,0,0,64.73508017,0,0,0,0,0,0,0,6.372924901,0,6.875840478,0,0,0,0,0,0,0,0,-2.153518258,0,-6.057662251,0,0,0,0,0,-45
8.528850137,-4.695589951,0.71644461,230.395,1.294117647,4.102265313,0,0,71.10800507,0,0,0,0,0,0,0,6.372924901,0,6.875840478,0,0,0,0,0,0,0,0,-2.227493945,0,-6.132180929,0,0,0,0,0,-53
8.543498574,-4.811223848,0.741756401,244.422,1.222222222,4.122004198,0,0,77.48092997,0,0,0,0,0,0,0,6.372924901,0,6.875840478,0,0,0,0,0,0,0,0,-2.291258445,0,-6.196488924,0,0,0,0,0,-65
8.568048427,-4.998513556,0.784105873,272.476,1.1,4.158827349,0,0,90.22677977,0,0,0,0,0,0,0,6.372924901,0,6.875840478,0,0,0,0,0,0,0,0,-2.395568907,0,-6.302161267,0,0,0,0,0,-52
8.587811239,-5.148478339,0.818121049,300.53,1,4.192241267,0,0,102.9726296,0,0,0,0,0,0,0,6.372924901,0,6.875840478,0,0,0,0,0,0,0,0,-2.477291708,0,-6.385634217,0,0,0,0,0,-36
8.604062574,-5.271420074,0.846033974,328.584,0.916666667,4.22247114,0,0,115.7184794,0,0,0,0,0,0,0,6.372924901,0,6.875840478,0,0,0,0,0,0,0,0,-2.543046691,0,-6.453401438,0,0,0,0,0,4.5
8.619540539,-5.374135313,0.869347388,356.638,0.846153846,4.249801158,0,0,128.4643292,0,0,0,0,0,0,0,6.372924901,0,6.875840478,0,0,0,0,0,0,0,0,-2.597099049,0,-6.509598345,0,0,0,0,0,32
